--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

473.840  458.747  234.823: sourcing /etc/xdg/nvim/plugin/init.lua
456.026  443.259  217.216: sourcing /etc/xdg/nvim/plugin/init.lua
454.116  440.792  211.110: sourcing /etc/xdg/nvim/plugin/init.lua
288.386  283.310  197.651: sourcing /etc/xdg/nvim/plugin/init.lua
329.667  323.852  191.409: sourcing /etc/xdg/nvim/plugin/init.lua
284.375  279.384  190.419: sourcing /etc/xdg/nvim/plugin/init.lua
278.966  273.313  186.887: sourcing /etc/xdg/nvim/plugin/init.lua
270.123  265.129  177.347: sourcing /etc/xdg/nvim/plugin/init.lua
109.481  040.622  039.442: require('nvim-treesitter.query')
375.606  038.128  038.128: sourcing /usr/share/nvim/runtime/indent/lua.vim
336.571  010.480  009.994: sourcing /usr/share/nvim/runtime/ftplugin/lua.lua
135.831  005.887  005.887: require('plenary.scandir')
369.530  006.148  005.716: sourcing /usr/share/nvim/runtime/ftplugin/lua.lua
140.518  005.634  005.634: require('plenary.scandir')
129.495  005.414  005.414: require('plenary.scandir')
291.721  015.957  005.105: sourcing /etc/xdg/nvim/plugin/telescope.lua
030.712  004.847  004.847: require('mini.animate')
305.307  015.261  004.522: sourcing /etc/xdg/nvim/plugin/telescope.lua
110.811  005.986  004.219: require('telescope.config')
116.974  005.792  004.080: require('telescope.config')
051.811  004.438  003.857: require('telescope.config')
157.825  011.349  003.803: require('nvim-treesitter.parsers')
121.284  005.564  003.745: require('telescope.config')
282.600  003.597  003.597: require('nui.utils')
475.673  013.050  003.584: sourcing /etc/xdg/nvim/plugin/telescope.lua
027.786  003.502  003.502: require('mini.animate')
296.713  003.476  003.476: require('nui.utils')
028.556  003.403  003.403: require('mini.animate')
291.246  007.749  003.387: sourcing /etc/xdg/nvim/plugin/telescope.lua
034.857  003.382  003.382: require('mini.indentscope')
472.649  003.335  003.335: require('nui.utils')
084.525  003.234  003.234: require('plenary.bit')
045.695  003.194  003.194: require('mini.surround')
036.833  003.172  003.172: require('mini.indentscope')
346.099  003.120  003.120: require('nui.utils')
024.401  003.097  003.097: require('mini.ai')
023.556  003.092  003.092: require('mini.ai')
056.395  003.969  003.070: require('lualine')
050.096  003.054  003.054: require('mini.surround')
058.213  004.039  003.046: require('lualine')
053.147  004.098  003.017: require('lualine')
049.550  003.583  003.002: require('telescope.config')
049.555  003.626  002.934: require('telescope.config')
114.685  012.100  002.934: require('telescope.actions')
046.033  003.493  002.931: require('telescope.config')
048.444  002.925  002.925: require('mini.surround')
048.897  003.586  002.912: require('telescope.config')
054.003  002.894  002.894: require('mini.icons')
488.666  002.887  002.887: require('nui.utils')
081.734  002.822  002.822: require('plenary.bit')
482.251  017.303  002.785: sourcing /etc/xdg/nvim/plugin/telescope.lua
135.902  008.669  002.782: require('telescope.previewers.buffer_previewer')
120.362  011.530  002.771: require('telescope.actions')
223.005  002.685  002.685: require('luasnip.util.jsregexp')
052.299  002.656  002.656: require('mini.icons')
361.467  002.620  002.620: require('vim.filetype')
149.988  010.111  002.614: require('nvim-treesitter.parsers')
223.048  015.924  002.609: require('luasnip.nodes.snippet')
124.952  011.361  002.588: require('telescope.actions')
224.710  002.554  002.554: require('luasnip.util.jsregexp')
078.057  002.553  002.553: require('plenary.bit')
124.550  021.579  002.542: require('telescope.pickers')
140.573  008.160  002.526: require('telescope.previewers.buffer_previewer')
046.880  002.520  002.520: require('mini.splitjoin')
323.825  002.505  002.505: require('vim.filetype')
223.511  002.480  002.480: require('luasnip.util.jsregexp')
061.331  002.473  002.473: require('plenary.scandir')
048.985  002.406  002.406: require('mini.icons')
042.361  002.405  002.405: require('mini.splitjoin')
326.026  003.462  002.395: require('vim.lsp.util')
012.788  002.366  002.366: sourcing /etc/xdg/nvim/plugin/plug.vim
025.143  002.362  002.362: require('mini.ai')
045.447  002.339  002.339: require('mini.splitjoin')
330.108  003.410  002.337: require('vim.lsp.util')
223.640  014.745  002.332: require('luasnip.nodes.snippet')
033.335  002.331  002.331: require('mini.comment')
014.620  002.297  002.297: sourcing /etc/xdg/nvim/plugin/plug.vim
098.493  007.637  002.292: require('telescope.make_entry')
032.477  002.288  002.288: require('mini.indentscope')
193.164  002.284  002.284: require('conform')
496.513  014.687  002.273: sourcing /etc/xdg/nvim/plugin/telescope.lua
333.956  003.331  002.268: require('vim.lsp.util')
349.753  010.866  002.262: sourcing /etc/xdg/nvim/plugin/telescope.lua
155.672  007.756  002.260: require('nvim-treesitter.parsers')
031.221  002.246  002.246: require('mini.comment')
157.108  006.587  002.214: require('vim.treesitter.languagetree')
300.959  008.062  002.213: sourcing /etc/xdg/nvim/plugin/telescope.lua
